code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,0.09,3201.5169,3212.6319,3215.4742,3219.6231,3199.2235,122030258,1330.9404
000002,Ａ股指数,0.09,3352.8545,3364.5268,3367.546,3371.8933,3350.4741,121845883,1329.5693
000003,Ｂ股指数,-0.3,329.9062,330.0795,329.078,330.6214,328.7332,184375,1.3711
000008,综合指数,0.52,2864.6759,2884.4593,2899.538,2904.1404,2861.9975,31973639,327.2965
000009,上证380,-0.19,5451.494,5457.6145,5447.353,5460.3344,5429.2912,25977843,284.475
000010,上证180,0.8,7898.9473,7915.0875,7978.0849,7988.5549,7895.5804,52431908,570.5398
000011,基金指数,0.47,5971.2547,5972.496,6000.4783,6003.0941,5970.1098,15217636,144.1967
000012,国债指数,-0.02,160.433,160.4179,160.3782,160.4343,160.349,90084,0.9031
000016,上证50,1.19,2543.72,2550.1147,2580.353,2583.8788,2543.0489,23198687,281.2101
000017,新综指,0.09,2703.4137,2712.8305,2715.2663,2718.7735,2701.4932,121579942,1320.3908
000300,沪深300,0.92,3646.8783,3653.6868,3687.2558,3691.5297,3645.9946,78814510,949.2684
000905,中证500,-0.42,6194.6164,6206.5568,6180.3734,6202.2032,6162.5057,49933334,588.9507
399001,深证成指,0.33,10488.893999999998,10505.601999999999,10540.395,10550.561000000002,10487.153,12093479741,1619.4134
399002,深成指R,0.35,12498.896,12516.617,12560.268,12572.381000000001,12496.823,6237066514,839.4197
399003,成份Ｂ指,0.93,6176.175,6167.920999999999,6225.128000000001,6240.736,6172.9619999999995,9928728,0.7307
399004,深证100R,1.13,5017.69,5022.879,5079.72,5084.7570000000005,5017.681,2740106997,399.7831
399005,中小板指,0.16,6921.215,6932.045999999999,6942.834,6954.507,6909.4980000000005,1192537891,199.5609
399006,创业板指,-0.34,1799.52,1803.247,1797.08,1804.7179999999998,1789.9160000000002,764074096,122.8624
399008,中小300,-0.13,1434.683,1437.307,1435.4370000000001,1439.1789999999999,1430.24,2477354040,358.3464
399100,新 指 数,0.12,8481.610999999999,8495.319,8505.372,8514.523000000001,8470.195,11902535784,1605.5713
399101,中小板综,-0.12,11234.278999999999,11251.32,11238.021999999999,11262.245,11199.6,4575160652,633.3461
399106,深证综指,-0.01,1902.5810000000001,1905.368,1905.102,1908.4,1898.017,12093479741,1619.4134
399107,深证Ａ指,-0.02,1989.856,1992.783,1992.461,1995.932,1985.031,12074540248,1618.1729
399108,深证Ｂ指,0.59,1157.767,1157.504,1164.354,1164.64,1157.238,18939493,1.2405
399333,中小板R,0.2,7617.996999999999,7626.7390000000005,7641.7919999999995,7654.64,7605.1,1192537891,199.5609
399606,创业板R,-0.34,1873.5529999999999,1877.3829999999998,1871.014,1878.965,1863.5539999999999,764074096,122.8624
